,cells,cells,total_counts,total_counts,total_counts,total_counts,total_counts,total_counts,n_genes_by_counts,n_genes_by_counts,n_genes_by_counts,n_genes_by_counts,n_genes_by_counts,n_genes_by_counts,pct_counts_mt,pct_counts_mt,pct_counts_mt,pct_counts_mt,pct_counts_mt,pct_counts_mt
,n_total,fraction,n,mean,median,std,p10,p90,n,mean,median,std,p10,p90,n,mean,median,std,p10,p90
celltype_specific,,,,,,,,,,,,,,,,,,,,
Immune B_cell,100236,0.23951311711616993,100236,99.75277068462921,64.30045399877442,104.6633648706758,18.0919075782974,232.47397456743346,100236,67.404415579233,44.0,70.66704669122487,12.0,153.0,100236,2.546178451592801,2.157170069306199,2.5192000468817843,0.0,6.296701041884463
Immune DC,4406,0.010528101620314504,4406,49.734875526941,24.142994745144154,68.73452883252524,5.651462854762132,134.56317221685146,4406,32.931003177485245,17.0,43.49271345542048,4.0,85.0,4406,2.0585438858412193,0.0,2.815872683782561,0.0,6.762162982391136
Immune Macrophages,20897,0.04993321369943536,20897,88.31019237859002,54.342390500296574,95.75815927401018,11.549269711079518,212.96189522022212,20897,61.874383882854,39.0,65.66312236171281,8.0,147.0,20897,2.6967537877988668,2.3060012302407498,2.7012141263836345,0.0,6.753020023235455
Immune Myeloid,6458,0.01543133914298481,6458,133.21890722434938,86.01263123982832,136.95440406245598,12.699611813445804,325.928128530963,6458,98.40120780427377,63.0,102.50305900584925,9.0,240.0,6458,2.8846659429734274,2.679899507644232,2.494489019947544,0.0,6.427629635298199
Immune Neutrophils,9938,0.023746771198975385,9938,187.66120474537735,147.0336502545839,155.7241394766199,28.405796101696104,404.367395663312,9938,127.35560474944657,99.0,106.10861259379932,21.0,274.0,9938,3.6720303825994525,3.6665196404269356,2.5079262742517683,0.0,7.09432958792428
Immune Plasma_cell,2362,0.005643980033405098,2362,57.641153527301604,26.72906272154374,79.59807444676451,5.713167742836603,165.26237891899862,2362,36.34081287044877,17.0,50.42309195501408,3.0,99.0,2362,2.146606291146598,0.0,2.850074266916925,0.0,6.857137497995162
Immune T_cell,41844,0.09998590199737634,41844,99.95445212530242,66.71928999601715,105.30835026156325,15.109080240627547,232.73689694701594,41844,71.99240034413536,50.0,73.47209527667043,10.0,161.0,41844,2.7483213688463497,2.473739772945406,2.5620683018423867,0.0,6.505149402265859
Stroma CAF,48420,0.11569920119283439,48420,107.72133844662437,76.31305783248382,99.87166616811159,27.02307389003081,227.86776080109155,48420,67.31305245766212,48.0,63.450005468964164,17.0,140.0,48420,2.337263330710279,1.9219107961548014,2.3415619111664117,0.0,5.800523104016277
Stroma Fibroblast,70095,0.16749143964501706,70095,109.30618915981648,73.66893290384648,105.52280877702833,22.75445340654949,246.23399057211537,70095,71.19433625793566,44.0,77.6309198467956,14.0,164.0,70095,2.479598595490953,2.064329035478912,2.441759305245521,0.0,6.107339424945378
Tumor,53623,0.12813172791332836,53623,48.43164134118531,14.34782608695652,95.01543475956746,2.5604861269696273,134.2804900822032,53623,31.2757025903064,9.0,62.793449551447154,2.0,84.0,53623,1.4582699818815894,0.0,2.5303724914149126,0.0,5.8705011464346555
Tumor Epithelial,5583,0.013340533669136605,5583,118.58311003368958,69.05050419403828,123.9572216547644,14.421314643728666,296.4616971784352,5583,80.82590005373456,49.0,82.88719090506433,10.0,201.0,5583,3.0964433542625023,3.03357987193981,2.6932519569651037,0.0,6.907085905765228
Tumor_Classical,28399,0.06785918245921735,28399,101.05959452418328,63.991063514869076,106.3676907927468,14.581302608832251,237.34431462008024,28399,71.42652910313744,46.0,76.66820146230742,10.0,165.0,28399,3.3642536922779804,3.313357436481597,2.7868248024623528,0.0,7.357097769210087
Unclear / Noise,26238,0.06269549031180481,26238,49.26283033714568,22.653570796695288,72.48203986652936,4.339562324399976,130.63914364980536,26238,32.29815534720634,15.0,47.22454671734192,3.0,86.0,26238,1.9435462018187415,0.0,2.768462017750076,0.0,6.581873960288913
